[2026-05-11T21:26:37.653Z] GET https://b.basemaps.cartocdn.com/light_all/7/63/49.png → 200 (4ms, 13801B)
[2026-05-11T21:26:37.654Z] GET https://c.basemaps.cartocdn.com/light_all/7/61/49.png → 200 (3ms, 14345B)
[2026-05-11T21:26:37.654Z] GET https://a.basemaps.cartocdn.com/light_all/7/62/46.png → 200 (3ms, 7117B)
[2026-05-11T21:26:37.654Z] GET https://b.basemaps.cartocdn.com/light_all/7/63/46.png → 200 (6ms, 16267B)
[2026-05-11T21:26:37.654Z] GET https://c.basemaps.cartocdn.com/light_all/7/61/46.png → 200 (6ms, 8233B)
[2026-05-11T21:26:37.804Z] GET https://b.basemaps.cartocdn.com/light_all/15/16581/12238.png → 200 (5ms, 33898B)
[2026-05-11T21:26:37.804Z] GET https://c.basemaps.cartocdn.com/light_all/15/16581/12239.png → 200 (5ms, 31691B)
[2026-05-11T21:26:37.807Z] GET https://a.basemaps.cartocdn.com/light_all/15/16580/12238.png → 200 (48ms, 22559B)
[2026-05-11T21:26:37.807Z] GET https://c.basemaps.cartocdn.com/light_all/15/16582/12238.png → 200 (51ms, 33291B)
[2026-05-11T21:26:37.807Z] GET https://b.basemaps.cartocdn.com/light_all/15/16580/12239.png → 200 (52ms, 23021B)
[2026-05-11T21:26:37.808Z] GET https://a.basemaps.cartocdn.com/light_all/15/16581/12237.png → 200 (51ms, 29094B)
[2026-05-11T21:26:37.808Z] GET https://a.basemaps.cartocdn.com/light_all/15/16582/12239.png → 200 (55ms, 32654B)
[2026-05-11T21:26:37.808Z] GET https://c.basemaps.cartocdn.com/light_all/15/16580/12237.png → 200 (55ms, 30573B)
[2026-05-11T21:26:37.808Z] GET https://b.basemaps.cartocdn.com/light_all/15/16582/12237.png → 200 (55ms, 27790B)
[2026-05-11T21:26:37.808Z] GET https://a.basemaps.cartocdn.com/light_all/15/16581/12240.png → 200 (55ms, 30872B)
[2026-05-11T21:26:37.808Z] GET https://c.basemaps.cartocdn.com/light_all/15/16580/12240.png → 200 (56ms, 29639B)
[2026-05-11T21:26:37.808Z] GET https://b.basemaps.cartocdn.com/light_all/15/16582/12240.png → 200 (56ms, 15542B)
[2026-05-11T21:26:55.134Z] GET http://localhost:3002/barberias → 200 (172ms, 39919B)
[2026-05-11T21:26:55.322Z] GET http://localhost:3002/_next/static/css/d79bbaf8c9584c93.css → 200 (2ms, 92359B)
[2026-05-11T21:26:55.324Z] GET http://localhost:3002/_next/static/css/7dfd643b849ac952.css → 200 (?ms, 70024B)
[2026-05-11T21:26:55.324Z] GET http://localhost:3002/_next/static/css/028302dccfbd8f41.css → 200 (?ms, 1949B)
[2026-05-11T21:26:55.325Z] GET http://localhost:3002/_next/static/chunks/webpack-b6ecb7084653318f.js → 200 (?ms, 3811B)
[2026-05-11T21:26:55.325Z] GET http://localhost:3002/_next/static/chunks/fd9d1056-eeee1a01e369ed1b.js → 200 (2ms, 172835B)
[2026-05-11T21:26:55.327Z] GET http://localhost:3002/_next/static/chunks/2117-557b22e847b244c1.js → 200 (1ms, 123529B)
[2026-05-11T21:26:55.328Z] GET http://localhost:3002/_next/static/chunks/main-app-694e2d46c8f8c3f3.js → 200 (?ms, 464B)
[2026-05-11T21:26:55.328Z] GET http://localhost:3002/_next/static/chunks/2972-0251acc8e67dd84b.js → 200 (?ms, 26067B)
[2026-05-11T21:26:55.328Z] GET http://localhost:3002/_next/static/chunks/app/layout-988276403c54d810.js → 200 (?ms, 13578B)
[2026-05-11T21:26:55.329Z] GET http://localhost:3002/_next/static/chunks/6540-c122906528a1f672.js → 200 (?ms, 28942B)
[2026-05-11T21:26:55.329Z] GET http://localhost:3002/_next/static/chunks/app/barberias/page-3f81ef7b7c449b2f.js → 200 (?ms, 157B)
[2026-05-11T21:26:55.389Z] GET http://localhost:3002/_next/static/chunks/05f6971a.f41d7bcef493ee72.js → 200 (2ms, 1036032B)
[2026-05-11T21:26:55.393Z] GET http://localhost:3002/barberias/barcelona?_rsc=1kcrr → 200 (75ms, 157B)
[2026-05-11T21:26:55.425Z] GET blob:http://localhost:3002/879be04a-838d-4761-a7cb-59d03825ff87 → 200 (167ms, 478168B)
[2026-05-11T21:26:55.499Z] GET http://localhost:3002/_vercel/insights/script.js → 404 (75ms, ?B)
[2026-05-11T21:26:55.561Z] GET https://c.basemaps.cartocdn.com/light_all/7/62/48.png → 200 (5ms, 19987B)
[2026-05-11T21:26:55.562Z] GET https://b.basemaps.cartocdn.com/light_all/7/62/47.png → 200 (5ms, 19694B)
[2026-05-11T21:26:55.562Z] GET https://a.basemaps.cartocdn.com/light_all/7/63/48.png → 200 (5ms, 20756B)
[2026-05-11T21:26:55.562Z] GET https://c.basemaps.cartocdn.com/light_all/7/63/47.png → 200 (5ms, 23133B)
[2026-05-11T21:26:55.563Z] GET https://b.basemaps.cartocdn.com/light_all/7/61/48.png → 200 (4ms, 19205B)
[2026-05-11T21:26:55.563Z] GET https://a.basemaps.cartocdn.com/light_all/7/62/49.png → 200 (6ms, 13446B)
[2026-05-11T21:26:55.564Z] GET https://a.basemaps.cartocdn.com/light_all/7/61/47.png → 200 (6ms, 22079B)
[2026-05-11T21:26:55.564Z] GET https://b.basemaps.cartocdn.com/light_all/7/63/49.png → 200 (6ms, 13801B)
[2026-05-11T21:26:55.564Z] GET https://c.basemaps.cartocdn.com/light_all/7/61/49.png → 200 (6ms, 14345B)
[2026-05-11T21:26:55.564Z] GET https://a.basemaps.cartocdn.com/light_all/7/62/46.png → 200 (7ms, 7117B)
[2026-05-11T21:26:55.564Z] GET https://b.basemaps.cartocdn.com/light_all/7/64/48.png → 200 (8ms, 5046B)
[2026-05-11T21:26:55.564Z] GET https://b.basemaps.cartocdn.com/light_all/7/63/46.png → 200 (8ms, 16267B)
[2026-05-11T21:26:55.564Z] GET https://a.basemaps.cartocdn.com/light_all/7/64/47.png → 200 (8ms, 22930B)
[2026-05-11T21:26:55.564Z] GET https://c.basemaps.cartocdn.com/light_all/7/61/46.png → 200 (9ms, 8233B)
[2026-05-11T21:26:55.564Z] GET https://c.basemaps.cartocdn.com/light_all/7/64/49.png → 200 (9ms, 1565B)
[2026-05-11T21:26:55.564Z] GET https://c.basemaps.cartocdn.com/light_all/7/64/46.png → 200 (9ms, 21503B)
[2026-05-11T21:26:55.603Z] GET http://localhost:3002/?_rsc=1kcrr → 200 (33ms, 184963B)
